,embeddings,r,p
386,Word2Vec,0.11443283531652321,1.3873876703492169e-06
387,Word2Vec,0.18076489160883916,1.818349996316022e-14
388,Word2Vec,0.06492120711136644,0.006289821158742881
389,Word2Vec,0.16178976592636796,7.538080828631625e-12
390,Word2Vec,0.1952737830266817,1.1367148610941876e-16
391,Word2Vec,0.14317087284427504,1.4454677874148737e-09
392,Word2Vec,0.16394292308211877,3.936799940382226e-12
393,Word2Vec,0.1886412400212071,1.2168013181600947e-15
394,Word2Vec,0.1130634196168844,1.8544598522725371e-06
395,Word2Vec,0.17154557407945756,3.7033570469690157e-13
396,Word2Vec,0.18289621055052777,8.851319543405349e-15
397,Word2Vec,0.1507736617364024,1.8266519292366913e-10
398,Word2Vec,0.13399395130820152,1.5237981139523328e-08
399,Word2Vec,0.11462247007647641,1.332394270680651e-06
400,Word2Vec,0.23558049006160062,9.576301756069932e-24
401,Word2Vec,0.05061867389233217,0.03321642355979897
402,Word2Vec,0.07503318247528144,0.0015832652160460677
403,Word2Vec,0.1790110967675817,3.266758413158123e-14
404,Word2Vec,0.19456947670609467,1.468087418100654e-16
405,Word2Vec,0.20279278186577196,6.969159191934118e-18
406,Word2Vec,0.02678930463067894,0.25996720558237774
407,Word2Vec,0.14346017566051747,1.3386633000585224e-09
408,Word2Vec,0.09658104634454584,4.7024510568611494e-05
409,Word2Vec,0.19602699205903684,8.637137936850818e-17
410,Word2Vec,0.10328699178609305,1.3367297644748593e-05
411,Word2Vec,0.14915367237941488,2.8639460514200175e-10
412,Word2Vec,0.20446730202796207,3.686012415127567e-18
413,Word2Vec,0.10945789589993235,3.918393555055374e-06
414,Word2Vec,0.11034616725337619,3.2658357870189524e-06
415,Word2Vec,0.0828280310464176,0.0004862444442002726
416,Word2Vec,0.11747227466709162,7.199789297803911e-07
417,Word2Vec,0.10714599787918978,6.254321526359459e-06
418,Word2Vec,0.2234289986611643,1.837527533272296e-21
419,Word2Vec,0.12895269877960205,5.20597823766645e-08
420,Word2Vec,0.17298147249029186,2.3408200041811106e-13
421,Word2Vec,0.07019765863124289,0.003128000350761055
422,Word2Vec,0.12919146621366334,4.9167934298799607e-08
423,Word2Vec,0.10347826157518147,1.288135653593386e-05
424,Word2Vec,0.20552669250861966,2.4564197811264567e-18
425,Word2Vec,0.16046872469647686,1.1180901824186174e-11
426,Word2Vec,0.1606221529141982,1.068229354146694e-11
427,Word2Vec,0.1666539108623771,1.716090425043938e-12
428,Word2Vec,0.14937440904485483,2.694490450200848e-10
429,Word2Vec,0.12314782267869745,2.0238861771677007e-07
430,Word2Vec,0.22885753855363933,1.8222263675186061e-22
431,Word2Vec,0.0918983825086931,0.00010805475479321745
432,Word2Vec,0.1566884598137951,3.392940974070553e-11
433,Word2Vec,0.18948767422100538,9.034429561626646e-16
434,Word2Vec,0.12491004323801755,1.3488351927416266e-07
435,Word2Vec,0.1931358401227329,2.4637542718171884e-16
436,Word2Vec,0.15446865905783316,6.430779137722196e-11
437,Word2Vec,0.26211049613656073,3.3947601937984423e-29
438,Word2Vec,0.2491637050948428,1.8687082266739136e-26
439,Word2Vec,0.15486597832941984,5.739233840475914e-11
440,Word2Vec,0.07495972015031313,0.0016001974877457533
441,Word2Vec,0.0644372803677438,0.0066905236932311846
442,Word2Vec,0.14285067803333565,1.5733571968531375e-09
443,Word2Vec,0.22408847608789914,1.3922109909334884e-21
444,Word2Vec,0.12566458275044926,1.1317770847583419e-07
445,Word2Vec,0.12170862220217504,2.8074576164689357e-07
446,Word2Vec,0.19982902763826327,2.1226310207876984e-17
447,Word2Vec,0.14910636341012717,2.901594803975849e-10
448,Word2Vec,0.17983646088130567,2.481380478323152e-14
449,Word2Vec,0.13736723221649588,6.526642067399019e-09
450,Word2Vec,0.0876556481199228,0.0002222381088538077
451,Word2Vec,0.0993197804467834,2.840128743027551e-05
452,Word2Vec,0.17926601137158102,3.0011902017642913e-14
453,Word2Vec,0.22156253649849755,4.011171876858794e-21
454,Word2Vec,0.23721059895654484,4.622345497254914e-24
455,Word2Vec,0.18244205126812785,1.0326493731758133e-14
456,Word2Vec,0.17882880632458856,3.4706948653652e-14
457,Word2Vec,0.19016216023590776,7.118999690454577e-16
458,Word2Vec,0.1358139886265621,9.668640400211212e-09
459,Word2Vec,0.26545541457656213,6.269550377021347e-30
460,Word2Vec,0.24736756297136006,4.360242158829523e-26
461,Word2Vec,0.18908890393819702,1.0396820624538465e-15
462,Word2Vec,0.1335609287944305,1.6964683386936014e-08
463,Word2Vec,0.14780380530208748,4.150454531073e-10
464,Word2Vec,0.09414062337778548,7.289338602151875e-05
465,Word2Vec,0.17079543299724909,4.698926293150702e-13
466,Word2Vec,0.21700056244596444,2.6243165348176937e-20
467,Word2Vec,0.12192886450296882,2.6709634327606304e-07
468,Word2Vec,0.11138964879017478,2.6319805659561453e-06
469,Word2Vec,0.10376671762195534,1.2180228751278031e-05
